"Car Name","Car Price","Car Mileage","Monthly Payment","Car Location","Phone Number","Car Engine"
"2020 Toyota Camry SE AWD","$29,995","71,500 km","Est. $496/mo.*","Vernon, BC","No Information Found","No Information Found"
"2012 Mercedes-Benz C-Class C 350 4MATIC Sedan","$12,888","147,317 km","Est. $213/mo.*","Langley, BC","No Information Found","No Information Found"
"2022 BMW M3 Competition xDrive AWD","$104,990","4,405 km","Est. $1,736/mo.*","Kelowna, BC","No Information Found","No Information Found"
"2021 Honda Accord Touring FWD","$31,995","64,408 km","Est. $529/mo.*","Toronto, ON","(833) 973-1610","252 hp 2L I4"
"2018 Porsche Panamera 4 AWD","$72,500","43,000 km","Est. $1,199/mo.*","Scarborough, ON","(844) 970-1859","260 hp 3.5L V6"
"2023 Lexus IS 300 AWD","$47,995","7,597 km","Est. $794/mo.*","Victoria, BC","(855) 936-0967","147 hp 2L I4"
"2019 Kia Forte","$23,999","35,356 km","Est. $397/mo.*","Edmonton, AB","(844) 694-0022","311 hp 3.8L V6"
"2020 Genesis G80 3.8L AWD","$34,997","59,938 km","Est. $579/mo.*","Spruce Grove, AB","(844) 407-1807","382 hp 3L I6"
"2023 BMW 3 Series M340i xDrive AWD","$69,995","4,604 km","Est. $1,157/mo.*","Oakville, ON","(604) 670-8530","158 hp 2L I4"
"2021 Honda Civic LX FWD","$24,888","90,555 km","Est. $412/mo.*","Vancouver, BC","(647) 699-2415","188 hp 2L I4"
"2020 Mercedes-Benz A-Class A 220 Sedan 4MATIC AWD","$32,980","36,629 km","Est. $546/mo.*","North York, ON","(855) 560-2409","372 hp 4.2L V8"
"2011 Audi A8 quattro AWD","$14,999","151,708 km","Est. $248/mo.*","Concord, ON","(450) 990-2603","145 hp 1.8L I4"
"2015 Hyundai Elantra GL FWD","$9,495","122,565 km","Est. $157/mo.*","Saint-Sulpice, QC","(587) 871-0304","444 hp 2.9L V6"
"2017 Chrysler 300 Touring RWD","$19,988","75,114 km","Est. $331/mo.*","Calgary, AB","(782) 201-4138","250 hp 2L I4"
"2023 Audi RS 5 Sportback 2.9T quattro AWD","$98,983","19,109 km","Est. $1,636/mo.*","Guelph, ON","(778) 743-4121","No Information Found"
"2019 Mazda MAZDA3 GT Sedan AWD","$23,900","59,980 km","Est. $395/mo.*","Surrey, BC","(604) 243-2347","No Information Found"
"2018 Chevrolet Malibu Premier FWD","$22,800","64,046 km","Est. $377/mo.*","Port Moody, BC","(604) 409-4656","No Information Found"
"2013 Volkswagen Jetta Trendline","$8,890","117,670 km","Est. $147/mo.*","Vancouver, BC","No Information Found","No Information Found"
"2019 Volkswagen Jetta Comfortline FWD","$18,900","80,070 km","Est. $313/mo.*","Toronto, ON","(833) 973-1610","330 hp 3L V6"
"2018 Ford Fusion SE AWD","$13,995","175,091 km","Est. $232/mo.*","Miramichi, NB","(647) 933-2681","2L I4"
"2018 Nissan Sentra S FWD","$14,695","23,412 km","Est. $243/mo.*","Temiskaming Shores, ON","(450) 823-1396","278 hp 3.5L V6"
"2016 Honda Accord V6 Touring","$17,545","206,512 km","Est. $290/mo.*","Mississauga, ON","(877) 618-2192","188 hp 2L I4"
"2022 Mercedes-Benz A-Class A 220 4MATIC Sedan AWD","$43,900","13,741 km","Est. $726/mo.*","Laval, QC","(819) 410-9370","158 hp 2L I4"
"2019 Honda Civic LX FWD","$17,888","103,133 km","Est. $296/mo.*","Ottawa, ON","(855) 514-1610","192 hp 1.5L I4"
"2020 Honda Accord 1.5T Sport FWD","$29,900","47,230 km","Est. $495/mo.*","Brampton, ON","(204) 808-2384","199 hp 2.4L I4 Hybrid"
"2014 Hyundai Sonata Hybrid","$11,988","94,183 km","Est. $199/mo.*","Saint-Eustache, QC","(204) 400-3408","2L I4 Hybrid"
"2018 Ford Fusion Energi SE Luxury","$22,466","41,500 km","Est. $372/mo.*","Concord, ON","(236) 326-9471","292 hp 3.6L V6"
"2018 Chrysler 300 Limited AWD","$28,995","70,000 km","Est. $480/mo.*","Winnipeg, MB","No Information Found","203 hp 2.5L I4"
"2021 Lexus ES 250 AWD","$38,990","19,700 km","Est. $645/mo.*","North Vancouver, BC","No Information Found","149 hp 2L I4"
"2022 Audi S3 2.0T quattro Progressiv AWD","$49,948","18,074 km","Est. $826/mo.*","Vancouver, BC","No Information Found","No Information Found"
"2021 Lexus ES 300h FWD","$48,900","7,567 km","Est. $809/mo.*","Victoria, BC","No Information Found","No Information Found"
"2020 Audi A4 2.0 TFSI quattro Komfort AWD","$31,880","53,300 km","Est. $527/mo.*","Toronto, ON","No Information Found","No Information Found"
"2021 Nissan Sentra SV FWD","$23,980","80,951 km","Est. $397/mo.*","Winnipeg, MB","No Information Found","No Information Found"
